类型,根函数名,函数名,非独占样本,独占样本,非独占样本 %,独占样本 %,
"Root","[atiu9pag.dll]","[atiu9pag.dll]",10,0,0.59,0.00,
"Caller","[atiu9pag.dll]","[atiu9pag.dll]",5,0,0.30,0.00,
"Caller","[atiu9pag.dll]","[atiumdag.dll]",2,0,0.12,0.00,
"Caller","[atiu9pag.dll]","[d3d9.dll]",10,0,0.59,0.00,
"Callee","[atiu9pag.dll]","[atiu9pag.dll]",5,0,0.30,0.00,
"Callee","[atiu9pag.dll]","[atiumdag.dll]",8,0,0.47,0.00,
"Callee","[atiu9pag.dll]","[d3d9.dll]",3,0,0.18,0.00,
"Callee","[atiu9pag.dll]","[KernelBase.dll]",1,0,0.06,0.00,
"Root","[atiumdag.dll]","[atiumdag.dll]",9,4,0.53,0.24,
"Caller","[atiumdag.dll]","[atiu9pag.dll]",8,0,0.47,0.00,
"Caller","[atiumdag.dll]","[atiumdag.dll]",8,3,0.47,0.18,
"Caller","[atiumdag.dll]","[atiumdva.dll]",1,0,0.06,0.00,
"Caller","[atiumdag.dll]","[ntdll.dll]",1,1,0.06,0.06,
"Callee","[atiumdag.dll]","[atiu9pag.dll]",2,0,0.12,0.00,
"Callee","[atiumdag.dll]","[atiumdag.dll]",8,3,0.47,0.18,
"Callee","[atiumdag.dll]","[atiumdva.dll]",1,0,0.06,0.00,
"Callee","[atiumdag.dll]","[KernelBase.dll]",1,0,0.06,0.00,
"Callee","[atiumdag.dll]","[ntdll.dll]",2,0,0.12,0.00,
"Root","[atiumdva.dll]","[atiumdva.dll]",1,0,0.06,0.00,
"Caller","[atiumdva.dll]","[atiumdag.dll]",1,0,0.06,0.00,
"Caller","[atiumdva.dll]","[atiumdva.dll]",1,0,0.06,0.00,
"Callee","[atiumdva.dll]","[atiumdag.dll]",1,0,0.06,0.00,
"Callee","[atiumdva.dll]","[atiumdva.dll]",1,0,0.06,0.00,
"Root","[bcrypt.dll]","[bcrypt.dll]",1,0,0.06,0.00,
"Caller","[bcrypt.dll]","[bcrypt.dll]",1,0,0.06,0.00,
"Caller","[bcrypt.dll]","[jscript9.dll]",1,0,0.06,0.00,
"Callee","[bcrypt.dll]","[bcrypt.dll]",1,0,0.06,0.00,
