函数名,非独占样本,独占样本,非独占样本 %,独占样本 %,
"[wow64win.dll]",503,392,29.75,23.18,
"[d3d10warp.dll]",207,176,12.24,10.41,
"[ntdll.dll]",764,172,45.18,10.17,
"[mshtml.dll]",588,169,34.77,9.99,
"[wow64cpu.dll]",765,168,45.24,9.93,
"[ntdll.dll]","1,511",81,89.36,4.79,
"[未知]",542,80,32.05,4.73,
"[jscript9.dll]",107,58,6.33,3.43,
"[clr.dll]","1,119",57,66.17,3.37,
"[PicFace.dll]",156,51,9.23,3.02,
"[wow64.dll]",765,35,45.24,2.07,
"[user32.dll]","1,012",30,59.85,1.77,
"[d2d1.dll]",112,28,6.62,1.66,
"[WindowsBase.ni.dll]",991,28,58.60,1.66,
"[d3d11.dll]",75,25,4.44,1.48,
"[PresentationCore.ni.dll]",107,22,6.33,1.30,
"[msvcrt.dll]",58,19,3.43,1.12,
"[wpfgfx_v0400.dll]",48,14,2.84,0.83,
"[mscorlib.ni.dll]",160,11,9.46,0.65,
"[KernelBase.dll]",193,9,11.41,0.53,
"[win32u.dll]",473,8,27.97,0.47,
"[kernel32.dll]",401,6,23.71,0.35,
"[PresentationFramework.ni.dll]",991,6,58.60,0.35,
"[SogouPY.ime]",44,5,2.60,0.30,
"[atiumdag.dll]",9,4,0.53,0.24,
"[iertutil.dll]",7,4,0.41,0.24,
"[ucrtbase.dll]",5,4,0.30,0.24,
"[uxtheme.dll]",21,4,1.24,0.24,
"[vcruntime140_clr0400.dll]",4,4,0.24,0.24,
"[gdi32full.dll]",37,3,2.19,0.18,
"[combase.dll]",54,2,3.19,0.12,
"[CoreMessaging.dll]",10,2,0.59,0.12,
"[gdi32.dll]",34,2,2.01,0.12,
"[comctl32.dll]",1,1,0.06,0.06,
"[CoreUIComponents.dll]",6,1,0.35,0.06,
"[DWrite.dll]",1,1,0.06,0.06,
"[imgutil.dll]",1,1,0.06,0.06,
"[msctf.dll]",18,1,1.06,0.06,
"[ntmarta.dll]",23,1,1.36,0.06,
"[oleaut32.dll]",2,1,0.12,0.06,
"[PenIMC2_v0400.dll]",2,1,0.12,0.06,
"[rpcrt4.dll]",47,1,2.78,0.06,
"[shlwapi.dll]",2,1,0.12,0.06,
"[System.ni.dll]",18,1,1.06,0.06,
"[urlmon.dll]",3,1,0.18,0.06,
"[atiu9pag.dll]",10,0,0.59,0.00,
"[atiumdva.dll]",1,0,0.06,0.00,
"[bcrypt.dll]",1,0,0.06,0.00,
"[bcryptprimitives.dll]",1,0,0.06,0.00,
"[cfgmgr32.dll]",1,0,0.06,0.00,
"[d3d9.dll]",11,0,0.65,0.00,
"[DataExchange.dll]",1,0,0.06,0.00,
"[ExplorerFrame.dll]",1,0,0.06,0.00,
"[Flash.ocx]",2,0,0.12,0.00,
"[ieframe.dll]",25,0,1.48,0.00,
"[InputHost.dll]",1,0,0.06,0.00,
"[MobileInput.dll]",1,0,0.06,0.00,
"[mscoree.dll]","1,065",0,62.98,0.00,
"[mscoreei.dll]","1,064",0,62.92,0.00,
"[msctfui.dll]",3,0,0.18,0.00,
"[ole32.dll]",2,0,0.12,0.00,
"[propsys.dll]",1,0,0.06,0.00,
"[sechost.dll]",1,0,0.06,0.00,
"[SGMouseInput.dll]",1,0,0.06,0.00,
"[SHCore.dll]",1,0,0.06,0.00,
"[SogouTSF.ime]",4,0,0.24,0.00,
"[t2embed.dll]",2,0,0.12,0.00,
"[TextInputFramework.dll]",5,0,0.30,0.00,
"[twinapi.appcore.dll]",5,0,0.30,0.00,
"[Windows.Media.dll]",1,0,0.06,0.00,
"[WindowsCodecs.dll]",1,0,0.06,0.00,
"[wininet.dll]",1,0,0.06,0.00,
"[wisp.dll]",7,0,0.41,0.00,
"极简浏览器.App+Program.Main",967,0,57.19,0.00,
