函数名,独占样本,独占样本 %,指令地址,源行开始,源字符开始,源行结束,源字符结束,
"[wow64cpu.dll]",271,16.03,0x77961199,0,0,0,0,
"[未知]",181,10.70,0xFFFFF80363878D08,0,0,0,0,
"[wow64win.dll]",178,10.53,0x7FFED30B338E,0,0,0,0,
"[d3d10warp.dll]",166,9.82,0x147891F8,0,0,0,0,
"[mshtml.dll]",117,6.92,0x10A9E66D,0,0,0,0,
"[未知]",60,3.55,0x7F172000,0,0,0,0,
"[wow64win.dll]",44,2.60,0x7FFED30B1886,0,0,0,0,
"[PicFace.dll]",36,2.13,0x6746339D,0,0,0,0,
"[PresentationCore.ni.dll]",35,2.07,0x62397861,0,0,0,0,
"[未知]",24,1.42,0x00AED08E,0,0,0,0,
"[mshtml.dll]",22,1.30,0x109FD544,0,0,0,0,
"[wow64win.dll]",20,1.18,0x7FFED30B332A,0,0,0,0,
"[wow64win.dll]",17,1.01,0x7FFED30B3C3E,0,0,0,0,
"[jscript9.dll]",15,0.89,0x137B193C,0,0,0,0,
"[wow64win.dll]",15,0.89,0x7FFED30B4C85,0,0,0,0,
"[wpfgfx_v0400.dll]",15,0.89,0x60299245,0,0,0,0,
"[d2d1.dll]",13,0.77,0x6ECCF602,0,0,0,0,
"[user32.dll]",13,0.77,0x755B58F0,0,0,0,0,
"[WindowsBase.ni.dll]",13,0.77,0x62E8B319,0,0,0,0,
"[mshtml.dll]",12,0.71,0x109E61CC,0,0,0,0,
"[mshtml.dll]",11,0.65,0x10F0841E,0,0,0,0,
"[wow64win.dll]",9,0.53,0x7FFED30B2E0F,0,0,0,0,
"[未知]",9,0.53,0x175E5E8B,0,0,0,0,
"[d3d11.dll]",8,0.47,0x6E652788,0,0,0,0,
"[jscript9.dll]",8,0.47,0x1388E386,0,0,0,0,
"[mshtml.dll]",7,0.41,0x10A99DE6,0,0,0,0,
"[PresentationCore.ni.dll]",7,0.41,0x6237C0BC,0,0,0,0,
"[System.ni.dll]",7,0.41,0x657175ED,0,0,0,0,
"[未知]",7,0.41,0x1E3C4075,0,0,0,0,
"[clr.dll]",6,0.35,0x67AE4BAF,0,0,0,0,
"[jscript9.dll]",6,0.35,0x1375E77D,0,0,0,0,
"[jscript9.dll]",6,0.35,0x1376EE8B,0,0,0,0,
"[kernel32.dll]",6,0.35,0x76E40419,0,0,0,0,
"[kernel32.dll]",6,0.35,0x76E44F33,0,0,0,0,
"[d3d11.dll]",5,0.30,0x6E65995F,0,0,0,0,
"[mshtml.dll]",5,0.30,0x10A3F6AD,0,0,0,0,
"[wpfgfx_v0400.dll]",5,0.30,0x60264377,0,0,0,0,
"[KernelBase.dll]",4,0.24,0x76157C02,0,0,0,0,
"[mscorlib.ni.dll]",4,0.24,0x663984F4,0,0,0,0,
"[PresentationCore.ni.dll]",4,0.24,0x623979C1,0,0,0,0,
"[wow64win.dll]",4,0.24,0x7FFED30B322E,0,0,0,0,
"[wow64win.dll]",4,0.24,0x7FFED30B742B,0,0,0,0,
"[wow64win.dll]",4,0.24,0x7FFED30B935C,0,0,0,0,
"[wpfgfx_v0400.dll]",4,0.24,0x602640A4,0,0,0,0,
"[未知]",4,0.24,0x175EC332,0,0,0,0,
"[d2d1.dll]",3,0.18,0x6ECF1443,0,0,0,0,
"[d2d1.dll]",3,0.18,0x6ED8DA17,0,0,0,0,
"[d3d10warp.dll]",3,0.18,0x14521C13,0,0,0,0,
"[d3d10warp.dll]",3,0.18,0x145341C3,0,0,0,0,
"[mscorlib.ni.dll]",3,0.18,0x66CAFD5D,0,0,0,0,
"[msvcrt.dll]",3,0.18,0x74F387C0,0,0,0,0,
"[PicFace.dll]",3,0.18,0x674726F4,0,0,0,0,
"[PresentationCore.ni.dll]",3,0.18,0x62378114,0,0,0,0,
"[SogouPY.ime]",3,0.18,0x100F398B,0,0,0,0,
"[win32u.dll]",3,0.18,0x74ED2B8C,0,0,0,0,
"[wow64win.dll]",3,0.18,0x7FFED30B19FE,0,0,0,0,
"[未知]",3,0.18,0x1E3C45DD,0,0,0,0,
"[atiumdag.dll]",2,0.12,0x5ED9FDC6,0,0,0,0,
"[clr.dll]",2,0.12,0x677C7DF5,0,0,0,0,
"[combase.dll]",2,0.12,0x771441F0,0,0,0,0,
"[d2d1.dll]",2,0.12,0x6EC5664C,0,0,0,0,
"[d2d1.dll]",2,0.12,0x6ECCF38C,0,0,0,0,
"[d3d10warp.dll]",2,0.12,0x14522328,0,0,0,0,
"[d3d10warp.dll]",2,0.12,0x145330FB,0,0,0,0,
"[iertutil.dll]",2,0.12,0x71EBF592,0,0,0,0,
"[KernelBase.dll]",2,0.12,0x76152621,0,0,0,0,
"[KernelBase.dll]",2,0.12,0x76157BF2,0,0,0,0,
"[mscorlib.ni.dll]",2,0.12,0x663C19CB,0,0,0,0,
"[msvcrt.dll]",2,0.12,0x74F7A4FE,0,0,0,0,
"[msvcrt.dll]",2,0.12,0x74F7A97F,0,0,0,0,
"[msvcrt.dll]",2,0.12,0x74F8B4A2,0,0,0,0,
"[PicFace.dll]",2,0.12,0x6744FC0A,0,0,0,0,
"[PicFace.dll]",2,0.12,0x674600A2,0,0,0,0,
"[PicFace.dll]",2,0.12,0x6746AD01,0,0,0,0,
"[PicFace.dll]",2,0.12,0x67475960,0,0,0,0,
"[PresentationCore.ni.dll]",2,0.12,0x623627F8,0,0,0,0,
"[PresentationCore.ni.dll]",2,0.12,0x623765EB,0,0,0,0,
"[PresentationCore.ni.dll]",2,0.12,0x62378021,0,0,0,0,
"[PresentationCore.ni.dll]",2,0.12,0x62397918,0,0,0,0,
"[SogouPY.ime]",2,0.12,0x1034D7BA,0,0,0,0,
"[user32.dll]",2,0.12,0x755C31EB,0,0,0,0,
"[uxtheme.dll]",2,0.12,0x733E23A8,0,0,0,0,
"[wow64win.dll]",2,0.12,0x7FFED30B203D,0,0,0,0,
"[wow64win.dll]",2,0.12,0x7FFED30B8A76,0,0,0,0,
"[wow64win.dll]",2,0.12,0x7FFED30BB4EC,0,0,0,0,
"[wow64win.dll]",2,0.12,0x7FFED30BFB24,0,0,0,0,
"[未知]",2,0.12,0x175EC2C6,0,0,0,0,
"[atiumdag.dll]",1,0.06,0x5EDE0D31,0,0,0,0,
"[atiumdva.dll]",1,0.06,0x5E7B1903,0,0,0,0,
"[bcryptprimitives.dll]",1,0.06,0x7542FFFE,0,0,0,0,
"[cfgmgr32.dll]",1,0.06,0x76F0DA3E,0,0,0,0,
"[clr.dll]",1,0.06,0x677C7DC6,0,0,0,0,
"[clr.dll]",1,0.06,0x677C7DDD,0,0,0,0,
"[clr.dll]",1,0.06,0x677C7DE8,0,0,0,0,
"[combase.dll]",1,0.06,0x770F45A3,0,0,0,0,
"[combase.dll]",1,0.06,0x7717F92E,0,0,0,0,
"[comctl32.dll]",1,0.06,0x73579C73,0,0,0,0,
"[CoreMessaging.dll]",1,0.06,0x6EF01BD5,0,0,0,0,
"[CoreMessaging.dll]",1,0.06,0x6EF3E348,0,0,0,0,
"[CoreUIComponents.dll]",1,0.06,0x6EFAB429,0,0,0,0,
"[d2d1.dll]",1,0.06,0x6EC8CA7D,0,0,0,0,
"[d2d1.dll]",1,0.06,0x6EC8D030,0,0,0,0,
"[d2d1.dll]",1,0.06,0x6ED11420,0,0,0,0,
"[d2d1.dll]",1,0.06,0x6ED11910,0,0,0,0,
"[d2d1.dll]",1,0.06,0x6ED1D132,0,0,0,0,
"[d3d10warp.dll]",1,0.06,0x145217CB,0,0,0,0,
"[d3d10warp.dll]",1,0.06,0x1453342D,0,0,0,0,
"[d3d10warp.dll]",1,0.06,0x145339AD,0,0,0,0,
"[d3d10warp.dll]",1,0.06,0x14533AD2,0,0,0,0,
"[d3d10warp.dll]",1,0.06,0x14533D46,0,0,0,0,
"[d3d10warp.dll]",1,0.06,0x145343A5,0,0,0,0,
"[d3d10warp.dll]",1,0.06,0x14535152,0,0,0,0,
"[d3d10warp.dll]",1,0.06,0x14539B58,0,0,0,0,
"[d3d10warp.dll]",1,0.06,0x1453C1D2,0,0,0,0,
"[d3d10warp.dll]",1,0.06,0x1495809E,0,0,0,0,
"[d3d11.dll]",1,0.06,0x6E6596FB,0,0,0,0,
"[d3d11.dll]",1,0.06,0x6E65ACF3,0,0,0,0,
"[d3d11.dll]",1,0.06,0x6E65AD4C,0,0,0,0,
"[d3d11.dll]",1,0.06,0x6E65D172,0,0,0,0,
"[d3d11.dll]",1,0.06,0x6E65FFCE,0,0,0,0,
"[d3d11.dll]",1,0.06,0x6E65FFEA,0,0,0,0,
"[d3d11.dll]",1,0.06,0x6E680432,0,0,0,0,
"[d3d11.dll]",1,0.06,0x6E6AD140,0,0,0,0,
"[d3d11.dll]",1,0.06,0x6E757D60,0,0,0,0,
"[d3d11.dll]",1,0.06,0x6E758E3F,0,0,0,0,
"[d3d11.dll]",1,0.06,0x6E758E64,0,0,0,0,
"[d3d11.dll]",1,0.06,0x6E758ECF,0,0,0,0,
"[d3d11.dll]",1,0.06,0x6E75E9BF,0,0,0,0,
"[DWrite.dll]",1,0.06,0x683E38F0,0,0,0,0,
"[gdi32.dll]",1,0.06,0x75936B3D,0,0,0,0,
"[gdi32.dll]",1,0.06,0x75936EA2,0,0,0,0,
"[gdi32full.dll]",1,0.06,0x75CF8B00,0,0,0,0,
"[gdi32full.dll]",1,0.06,0x75D0D880,0,0,0,0,
"[gdi32full.dll]",1,0.06,0x75D10A00,0,0,0,0,
"[ieframe.dll]",1,0.06,0x0F3591DD,0,0,0,0,
"[iertutil.dll]",1,0.06,0x71EBDDEC,0,0,0,0,
"[iertutil.dll]",1,0.06,0x71ECE58F,0,0,0,0,
"[imgutil.dll]",1,0.06,0x6A43311D,0,0,0,0,
"[jscript9.dll]",1,0.06,0x136D6858,0,0,0,0,
"[jscript9.dll]",1,0.06,0x1375E70E,0,0,0,0,
"[jscript9.dll]",1,0.06,0x13783067,0,0,0,0,
"[jscript9.dll]",1,0.06,0x137874B3,0,0,0,0,
"[jscript9.dll]",1,0.06,0x13792274,0,0,0,0,
"[jscript9.dll]",1,0.06,0x137922A7,0,0,0,0,
"[jscript9.dll]",1,0.06,0x1379CFFF,0,0,0,0,
"[jscript9.dll]",1,0.06,0x137CBD2A,0,0,0,0,
"[kernel32.dll]",1,0.06,0x76E3EF43,0,0,0,0,
"[kernel32.dll]",1,0.06,0x76E3EF70,0,0,0,0,
"[kernel32.dll]",1,0.06,0x76E3F020,0,0,0,0,
"[kernel32.dll]",1,0.06,0x76E40000,0,0,0,0,
"[kernel32.dll]",1,0.06,0x76E40420,0,0,0,0,
"[kernel32.dll]",1,0.06,0x76E40CB0,0,0,0,0,
"[KernelBase.dll]",1,0.06,0x76145D63,0,0,0,0,
"[KernelBase.dll]",1,0.06,0x76145EC0,0,0,0,0,
"[KernelBase.dll]",1,0.06,0x761501BE,0,0,0,0,
"[KernelBase.dll]",1,0.06,0x76150D32,0,0,0,0,
"[KernelBase.dll]",1,0.06,0x76151F96,0,0,0,0,
"[KernelBase.dll]",1,0.06,0x76156F30,0,0,0,0,
"[KernelBase.dll]",1,0.06,0x76156F72,0,0,0,0,
"[KernelBase.dll]",1,0.06,0x76156FA7,0,0,0,0,
"[KernelBase.dll]",1,0.06,0x76159930,0,0,0,0,
"[KernelBase.dll]",1,0.06,0x7615B801,0,0,0,0,
"[KernelBase.dll]",1,0.06,0x7615C451,0,0,0,0,
"[KernelBase.dll]",1,0.06,0x7615EF74,0,0,0,0,
"[KernelBase.dll]",1,0.06,0x76161AB5,0,0,0,0,
"[mscorlib.ni.dll]",1,0.06,0x66368011,0,0,0,0,
"[mscorlib.ni.dll]",1,0.06,0x6638B488,0,0,0,0,
"[mscorlib.ni.dll]",1,0.06,0x66396F91,0,0,0,0,
"[mscorlib.ni.dll]",1,0.06,0x66397C4B,0,0,0,0,
"[mscorlib.ni.dll]",1,0.06,0x663984F5,0,0,0,0,
"[mscorlib.ni.dll]",1,0.06,0x663AF5BA,0,0,0,0,
"[mscorlib.ni.dll]",1,0.06,0x663AF9D0,0,0,0,0,
"[mscorlib.ni.dll]",1,0.06,0x663B8F01,0,0,0,0,
"[mscorlib.ni.dll]",1,0.06,0x663BC730,0,0,0,0,
"[mscorlib.ni.dll]",1,0.06,0x663C1980,0,0,0,0,
"[mscorlib.ni.dll]",1,0.06,0x66455BCF,0,0,0,0,
"[msctf.dll]",1,0.06,0x7627C758,0,0,0,0,
"[msctf.dll]",1,0.06,0x7627DC83,0,0,0,0,
"[msctf.dll]",1,0.06,0x7627DEFF,0,0,0,0,
"[msvcrt.dll]",1,0.06,0x74F385D5,0,0,0,0,
"[msvcrt.dll]",1,0.06,0x74F7A108,0,0,0,0,
"[msvcrt.dll]",1,0.06,0x74F7A2C9,0,0,0,0,
"[msvcrt.dll]",1,0.06,0x74F7A551,0,0,0,0,
"[msvcrt.dll]",1,0.06,0x74F7A920,0,0,0,0,
"[msvcrt.dll]",1,0.06,0x74F8AB90,0,0,0,0,
"[msvcrt.dll]",1,0.06,0x74F8AB92,0,0,0,0,
"[msvcrt.dll]",1,0.06,0x74F8ABAA,0,0,0,0,
"[msvcrt.dll]",1,0.06,0x74F8B4A0,0,0,0,0,
"[msvcrt.dll]",1,0.06,0x74F8B4F9,0,0,0,0,
"[msvcrt.dll]",1,0.06,0x74F8C120,0,0,0,0,
"[ntdll.dll]",1,0.06,0x779A76AF,0,0,0,0,
"[ntdll.dll]",1,0.06,0x779B1F3E,0,0,0,0,
"[ntdll.dll]",1,0.06,0x779B1F5F,0,0,0,0,
"[ntdll.dll]",1,0.06,0x779B5034,0,0,0,0,
