函数名,独占样本,独占样本 %,非独占样本,非独占样本 %,源行开始,源字符开始,源行结束,源字符结束,
"[wow64win.dll]",314,18.57,503,29.75,0,0,0,0,
"[未知]",303,17.92,542,32.05,0,0,0,0,
"[wow64cpu.dll]",272,16.09,765,45.24,0,0,0,0,
"[d3d10warp.dll]",186,11.00,207,12.24,0,0,0,0,
"[mshtml.dll]",174,10.29,588,34.77,0,0,0,0,
"[PresentationCore.ni.dll]",66,3.90,107,6.33,0,0,0,0,
"[PicFace.dll]",51,3.02,156,9.23,0,0,0,0,
"[jscript9.dll]",43,2.54,107,6.33,0,0,0,0,
"[d2d1.dll]",28,1.66,112,6.62,0,0,0,0,
"[d3d11.dll]",26,1.54,75,4.44,0,0,0,0,
"[wpfgfx_v0400.dll]",25,1.48,48,2.84,0,0,0,0,
"[KernelBase.dll]",21,1.24,193,11.41,0,0,0,0,
"[mscorlib.ni.dll]",20,1.18,160,9.46,0,0,0,0,
"[msvcrt.dll]",20,1.18,58,3.43,0,0,0,0,
"[user32.dll]",20,1.18,"1,012",59.85,0,0,0,0,
"[kernel32.dll]",18,1.06,401,23.71,0,0,0,0,
"[WindowsBase.ni.dll]",13,0.77,991,58.60,0,0,0,0,
"[clr.dll]",11,0.65,"1,119",66.17,0,0,0,0,
"[System.ni.dll]",9,0.53,18,1.06,0,0,0,0,
"[win32u.dll]",8,0.47,473,27.97,0,0,0,0,
"[uxtheme.dll]",7,0.41,21,1.24,0,0,0,0,
"[SogouPY.ime]",6,0.35,44,2.60,0,0,0,0,
"[ntdll.dll]",5,0.30,"1,511",89.36,0,0,0,0,
"[combase.dll]",4,0.24,54,3.19,0,0,0,0,
"[iertutil.dll]",4,0.24,7,0.41,0,0,0,0,
"[ucrtbase.dll]",4,0.24,5,0.30,0,0,0,0,
"[vcruntime140_clr0400.dll]",4,0.24,4,0.24,0,0,0,0,
"[atiumdag.dll]",3,0.18,9,0.53,0,0,0,0,
"[gdi32full.dll]",3,0.18,37,2.19,0,0,0,0,
"[msctf.dll]",3,0.18,18,1.06,0,0,0,0,
"[CoreMessaging.dll]",2,0.12,10,0.59,0,0,0,0,
"[gdi32.dll]",2,0.12,34,2.01,0,0,0,0,
"[atiumdva.dll]",1,0.06,1,0.06,0,0,0,0,
"[bcryptprimitives.dll]",1,0.06,1,0.06,0,0,0,0,
"[cfgmgr32.dll]",1,0.06,1,0.06,0,0,0,0,
"[comctl32.dll]",1,0.06,1,0.06,0,0,0,0,
"[CoreUIComponents.dll]",1,0.06,6,0.35,0,0,0,0,
"[DWrite.dll]",1,0.06,1,0.06,0,0,0,0,
"[ieframe.dll]",1,0.06,25,1.48,0,0,0,0,
"[imgutil.dll]",1,0.06,1,0.06,0,0,0,0,
"[ntmarta.dll]",1,0.06,23,1.36,0,0,0,0,
"[oleaut32.dll]",1,0.06,2,0.12,0,0,0,0,
"[PenIMC2_v0400.dll]",1,0.06,2,0.12,0,0,0,0,
"[rpcrt4.dll]",1,0.06,47,2.78,0,0,0,0,
"[SGMouseInput.dll]",1,0.06,1,0.06,0,0,0,0,
"[shlwapi.dll]",1,0.06,2,0.12,0,0,0,0,
"[urlmon.dll]",1,0.06,3,0.18,0,0,0,0,
"[wininet.dll]",1,0.06,1,0.06,0,0,0,0,
"[atiu9pag.dll]",0,0.00,10,0.59,0,0,0,0,
"[bcrypt.dll]",0,0.00,1,0.06,0,0,0,0,
"[d3d9.dll]",0,0.00,11,0.65,0,0,0,0,
"[DataExchange.dll]",0,0.00,1,0.06,0,0,0,0,
"[ExplorerFrame.dll]",0,0.00,1,0.06,0,0,0,0,
"[Flash.ocx]",0,0.00,2,0.12,0,0,0,0,
"[InputHost.dll]",0,0.00,1,0.06,0,0,0,0,
"[MobileInput.dll]",0,0.00,1,0.06,0,0,0,0,
"[mscoree.dll]",0,0.00,"1,065",62.98,0,0,0,0,
"[mscoreei.dll]",0,0.00,"1,064",62.92,0,0,0,0,
"[msctfui.dll]",0,0.00,3,0.18,0,0,0,0,
"[ntdll.dll]",0,0.00,764,45.18,0,0,0,0,
"[ole32.dll]",0,0.00,2,0.12,0,0,0,0,
"[PresentationFramework.ni.dll]",0,0.00,991,58.60,0,0,0,0,
"[propsys.dll]",0,0.00,1,0.06,0,0,0,0,
"[sechost.dll]",0,0.00,1,0.06,0,0,0,0,
"[SHCore.dll]",0,0.00,1,0.06,0,0,0,0,
"[SogouTSF.ime]",0,0.00,4,0.24,0,0,0,0,
"[t2embed.dll]",0,0.00,2,0.12,0,0,0,0,
"[TextInputFramework.dll]",0,0.00,5,0.30,0,0,0,0,
"[twinapi.appcore.dll]",0,0.00,5,0.30,0,0,0,0,
"[Windows.Media.dll]",0,0.00,1,0.06,0,0,0,0,
"[WindowsCodecs.dll]",0,0.00,1,0.06,0,0,0,0,
"[wisp.dll]",0,0.00,7,0.41,0,0,0,0,
"[wow64.dll]",0,0.00,765,45.24,0,0,0,0,
"极简浏览器.App+Program.Main",0,0.00,967,57.19,38,22,38,33,
