类型,唯一 ID,ID,名称,开始时间,结束时间,生存时间,
"Process",0,5284,"极简浏览器.exe",0.00,"30,755.30","30,755.30",
"Thread",0,11188,"未知","8,158,666,104,587.06","25,104.74","30,075.20",
"Thread",1,9012,"未知","8,158,666,104,692.68","29,804.61","34,669.46",
"Thread",2,3024,"未知","8,158,666,104,695.28","29,804.12","34,666.35",
"Thread",3,7560,"未知","8,158,666,105,980.93","29,802.91","33,379.50",
"Thread",4,2140,"未知","8,158,666,105,981.03","8,158,666,107,483.27","1,502.24",
"Thread",5,11372,"未知","8,158,666,105,997.61","29,802.89","33,362.80",
"Thread",6,8308,"未知","8,158,666,108,571.98",517.47,"1,503.01",
"Thread",7,1076,"未知",0.00,"30,743.22","30,743.22",
"Thread",8,11048,"未知",0.00,"29,806.44","29,806.44",
"Thread",9,11588,"未知",0.02,"29,801.87","29,801.86",
"Thread",10,8476,"未知",0.02,"29,806.39","29,806.38",
"Thread",11,11448,"未知",0.02,"29,594.43","29,594.41",
"Thread",12,12328,"未知",0.02,"29,801.91","29,801.89",
"Thread",13,12808,"未知",0.02,"29,805.40","29,805.38",
"Thread",14,11764,"未知",0.02,"29,805.06","29,805.04",
"Thread",15,8408,"未知",0.02,"29,801.87","29,801.85",
"Thread",16,12488,"未知",0.02,"29,673.91","29,673.89",
"Thread",17,10644,"未知",0.02,"29,805.04","29,805.01",
"Thread",18,6364,"未知",0.03,"29,805.01","29,804.99",
"Thread",19,4444,"未知",0.03,"29,804.99","29,804.96",
"Thread",20,9780,"未知",0.03,"29,804.97","29,804.94",
"Thread",21,8812,"未知",0.03,"29,804.94","29,804.91",
"Thread",22,12160,"未知",0.03,"29,804.78","29,804.75",
"Thread",23,13100,"未知",0.03,"29,762.86","29,762.83",
"Thread",24,12760,"未知",0.03,"29,793.26","29,793.23",
"Thread",25,5996,"未知",0.03,"29,795.47","29,795.44",
"Thread",26,11384,"未知",0.03,"29,797.04","29,797.00",
"Thread",27,12196,"未知",0.03,"29,763.62","29,763.59",
"Thread",28,14024,"未知",0.03,"29,800.44","29,800.41",
"Thread",29,12044,"未知",0.04,"29,806.70","29,806.66",
"Thread",30,7572,"未知",0.04,"29,804.76","29,804.72",
"Thread",31,5888,"未知",0.04,"29,791.77","29,791.74",
"Thread",32,5444,"未知",0.04,"29,799.25","29,799.21",
"Thread",33,9256,"未知",0.04,"29,804.73","29,804.69",
"Thread",34,3400,"未知",0.04,"29,804.71","29,804.67",
"Thread",35,11904,"未知",0.04,"29,804.69","29,804.65",
"Thread",36,11188,"未知",0.04,"25,104.74","25,104.70",
"Thread",37,9012,"未知",0.04,"29,804.61","29,804.57",
"Thread",38,3024,"未知",0.04,"29,804.12","29,804.08",
"Thread",39,7560,"未知",0.04,"29,802.91","29,802.86",
"Thread",40,11372,"未知",0.05,"29,802.89","29,802.84",
"Thread",41,8308,"未知",0.05,517.47,517.42,
"Thread",42,10940,"未知","6,424.81","7,928.29","1,503.48",
"Thread",43,2200,"未知","15,325.43","29,802.87","14,477.44",
"Thread",44,9232,"未知","15,327.66","29,802.83","14,475.17",
"Thread",45,13772,"未知","16,425.40","17,926.87","1,501.47",
"Thread",46,13236,"未知","26,425.93","27,932.00","1,506.06",
"Thread",47,13396,"未知","29,640.16","29,802.63",162.47,
"Thread",48,8012,"未知","29,646.32","29,801.93",155.61,
